"id","title","first","last","url","n1","n2","n3","n4","n5"
"000060","地獄変","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/60_15129.html",49,45,43,31,23
"000061","地獄変","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/61_15130.html",49,46,44,32,24
"003818","詩集","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3818_27305.html",42,40,38,33,23
"000013","十本の針","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/13_14563.html",53,49,47,32,22
"003742","支那の画","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3742_27306.html",45,36,34,21,15
"051212","「支那游記」自序","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/51212_56017.html",61,55,52,38,25
"043380","島木赤彦氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43380_26107.html",68,58,55,46,31
"002326","耳目記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2326_13463.html",57,53,51,39,28
"001129","霜夜","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1129_6759.html",60,56,52,44,32
"000059","邪宗門","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/59_14480.html",47,43,41,29,20
"051215","上海游記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/51215_56381.html",59,54,51,36,27
"000062","十円札","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/62_15198.html",59,51,49,35,26
"000162","秋山図","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/162_15131.html",54,50,49,34,25
"003769","蒐書","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3769_27307.html",51,47,41,28,17
"000158","侏儒の言葉","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/158_15132.html",58,50,47,28,18
"043751","侏儒の言葉","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43751_27955.html",54,46,43,26,17
"024451","「侏儒の言葉」の序","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/24451_11252.html",36,36,33,21,12
"000161","酒虫","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/161_15133.html",51,48,46,31,24
"000160","出帆","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/160_15199.html",58,54,52,43,27
"000063","じゅりあの・吉助","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/63_15200.html",42,36,35,25,17
"000159","俊寛","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/159_15201.html",46,43,41,29,20
"000156","将軍","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/156_15202.html",51,47,44,32,24
"003813","商賈聖母","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3813_27308.html",38,32,32,19,16
"003801","饒舌","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3801_27309.html",47,43,42,31,25
"004313","小説作法十則","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4313_33771.html",71,65,60,40,27
"004278","小説の戯曲化","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4278_6762.html",58,46,42,33,21
"003794","小説の読者","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3794_27310.html",64,59,57,43,21
"000155","少年","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/155_15203.html",51,47,45,33,24
"003770","娼婦美と冒険","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3770_27311.html",49,44,44,22,15
"003795","食物として","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3795_27312.html",47,46,40,33,20
"000148","虱","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/148_15134.html",47,43,41,30,24
"024452","しるこ","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/24452_11251.html",39,36,35,27,21
"000149","白","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/149_15204.html",57,53,50,40,31
"000147","蜃気楼","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/147_15135.html",64,61,59,48,29
"004280","新緑の庭","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4280_6763.html",42,40,38,26,21
